,eid,timestamp,activity,vacancies,managers,applicants,applications,recruiters,offers
20,21,2019-05-21 14:45:34+00:00,submit application,['Vacancy[550003] - Programmer'],,['Mary Johnson'],['Application[770015]'],,
21,22,2019-05-21 15:49:56+00:00,assign recruiter,,,,['Application[770008]'],"['Dionne Geisler', 'Ed Geisler', 'Simon Keane']",
22,23,2019-05-21 16:15:27+00:00,submit application,['Vacancy[550002] - Consultant'],,['Ray Schmidt'],['Application[770016]'],,
23,24,2019-05-21 16:59:47+00:00,submit application,,,['Toon Davis'],['Application[770017]'],,
24,25,2019-05-21 19:28:00+00:00,submit application,,,['Ray Lopez'],['Application[770018]'],,
25,26,2019-05-21 21:24:40+00:00,submit application,,,['Mary Wagner'],['Application[770019]'],,
26,27,2019-05-22 02:33:50+00:00,open vacancy,['Vacancy[550004] - Programmer'],['Martin Klenk'],,,,
27,28,2019-05-22 05:12:36+00:00,submit application,['Vacancy[550003] - Programmer'],,['Detlef Zimmermann'],['Application[770020]'],,
28,29,2019-05-22 06:54:17+00:00,assign recruiter,,,,['Application[770003]'],"['Ed Meister', 'Dionne Meister', 'Jana Meister']",
29,30,2019-05-22 07:22:12+00:00,submit application,['Vacancy[550002] - Consultant'],,['Vanessa Johnson'],['Application[770021]'],,
30,31,2019-05-22 08:14:33+00:00,first screening,,,,['Application[770008]'],['Dionne Geisler'],
31,32,2019-05-22 08:28:43+00:00,submit application,['Vacancy[550002] - Consultant'],,['Dave Wang'],['Application[770022]'],,
32,33,2019-05-22 08:36:06+00:00,assign recruiter,,,,['Application[770020]'],"['Simon Keane', 'Dionne Meister', 'Ed Kershaw']",
33,34,2019-05-22 09:33:28+00:00,assign recruiter,,,,['Application[770014]'],"['Simon Hense', 'Ed Meister', 'Jana Keane']",
34,35,2019-05-22 09:41:46+00:00,submit application,['Vacancy[550003] - Programmer'],,['Stephan Smith'],['Application[770023]'],,
35,36,2019-05-22 10:06:22+00:00,first screening,,,,['Application[770009]'],['Ed Hense'],
36,37,2019-05-22 11:07:52+00:00,submit application,['Vacancy[550001] - Manager'],,['Ray Davis'],['Application[770024]'],,
37,38,2019-05-22 11:31:13+00:00,assign recruiter,,,,['Application[770012]'],"['Simon Kershaw', 'Ed Meister', 'Simon Keane']",
38,39,2019-05-22 11:52:11+00:00,submit application,['Vacancy[550003] - Programmer'],,['Johan Davis'],['Application[770025]'],,
39,40,2019-05-22 13:22:10+00:00,open vacancy,['Vacancy[550005] - Programmer'],['Martin Klenk'],,,,
40,41,2019-05-22 13:28:42+00:00,submit application,,,['Andre Johnson'],['Application[770026]'],,
41,42,2019-05-22 13:41:46+00:00,assign recruiter,,,,['Application[770005]'],"['Jana Meister', 'Dionne Keane', 'Simon Meister']",
42,43,2019-05-22 14:12:29+00:00,assign recruiter,,,,['Application[770015]'],"['Simon Keane', 'Ed Kershaw', 'Ed Keane']",
43,44,2019-05-22 14:14:32+00:00,check references,,,,['Application[770009]'],"['Dionne Keane', 'Simon Keane']",
44,45,2019-05-22 14:22:18+00:00,assign vacancy,['Vacancy[550002] - Consultant'],,,['Application[770003]'],,
45,46,2019-05-22 14:41:44+00:00,submit application,['Vacancy[550001] - Manager'],,['Dave Neumann'],['Application[770027]'],,
46,47,2019-05-22 15:01:10+00:00,assign vacancy,['Vacancy[550001] - Manager'],,,['Application[770012]'],,
47,48,2019-05-22 15:17:01+00:00,assign recruiter,,,,['Application[770016]'],"['Jana Hense', 'Simon Hense', 'Simon Keane']",
48,49,2019-05-22 15:18:28+00:00,first screening,,,,['Application[770020]'],['Simon Keane'],
49,50,2019-05-22 15:22:15+00:00,assign recruiter,,,,['Application[770022]'],"['Jana Keane', 'Simon Geisler', 'Simon Meister']",
50,51,2019-05-22 15:44:16+00:00,assign recruiter,,,,['Application[770027]'],"['Ed Keane', 'Jana Geisler', 'Ed Kershaw']",
51,52,2019-05-22 16:07:47+00:00,submit application,,,['Pete Weber'],['Application[770028]'],,
52,53,2019-05-22 16:52:07+00:00,submit application,['Vacancy[550002] - Consultant'],,['Chun Smith'],['Application[770029]'],,
53,54,2019-05-22 19:05:00+00:00,submit application,,,['Detlef Smith'],['Application[770030]'],,
54,55,2019-05-22 20:38:40+00:00,submit application,['Vacancy[550002] - Consultant'],,['Andre Li'],['Application[770031]'],,
55,56,2019-05-23 03:15:16+00:00,submit application,,,['Ray Park'],['Application[770032]'],,
56,57,2019-05-23 06:36:24+00:00,open vacancy,['Vacancy[550006] - Programmer'],['Miguel Milano'],,,,
57,58,2019-05-23 07:08:57+00:00,first screening,,,,['Application[770016]'],['Jana Hense'],
58,59,2019-05-23 07:10:59+00:00,submit application,,,['Dave Lopez'],['Application[770033]'],,
59,60,2019-05-23 07:55:18+00:00,submit application,['Vacancy[550004] - Programmer'],,['Dave Wagner'],['Application[770034]'],,
60,61,2019-05-23 08:20:47+00:00,first screening,,,,['Application[770015]'],['Simon Keane'],
61,62,2019-05-23 08:39:24+00:00,send rejection,,,['Ray Johnson'],['Application[770008]'],['Dionne Geisler'],
62,63,2019-05-23 09:24:15+00:00,assign recruiter,,,,['Application[770017]'],"['Simon Hense', 'Ed Meister', 'Dionne Keane']",
63,64,2019-05-23 09:34:56+00:00,submit application,,,['Sue Jones'],['Application[770035]'],,
64,65,2019-05-23 09:37:35+00:00,assign recruiter,,,,['Application[770029]'],"['Dionne Kershaw', 'Dionne Geisler', 'Ed Hense']",
65,66,2019-05-23 10:25:06+00:00,assign recruiter,,,,['Application[770013]'],"['Ed Hense', 'Ed Geisler', 'Dionne Geisler']",
66,67,2019-05-23 10:54:12+00:00,submit application,['Vacancy[550001] - Manager'],,['Angela Smith'],['Application[770036]'],,
67,68,2019-05-23 12:10:33+00:00,first screening,,,,['Application[770022]'],['Jana Keane'],
68,69,2019-05-23 12:32:43+00:00,submit application,,,['Sue Brown'],['Application[770037]'],,
69,70,2019-05-23 12:37:13+00:00,first screening,,,,['Application[770014]'],['Simon Hense'],
70,71,2019-05-23 12:48:39+00:00,assign recruiter,,,,['Application[770023]'],"['Dionne Hense', 'Simon Kershaw', 'Simon Keane']",
71,72,2019-05-23 13:09:32+00:00,assign recruiter,,,,['Application[770025]'],"['Dionne Geisler', 'Jana Keane', 'Simon Hense']",
72,73,2019-05-23 13:11:35+00:00,send rejection,,,['Detlef Zimmermann'],['Application[770020]'],['Simon Keane'],
73,74,2019-05-23 13:21:19+00:00,first screening,,,,['Application[770003]'],['Ed Meister'],
74,75,2019-05-23 13:42:02+00:00,first screening,,,,['Application[770005]'],['Jana Meister'],
75,76,2019-05-23 13:49:46+00:00,submit application,['Vacancy[550005] - Programmer'],,['Pete Park'],['Application[770038]'],,
76,77,2019-05-23 14:03:33+00:00,open vacancy,['Vacancy[550007] - Consultant'],['Alexander Rinke'],,,,
77,78,2019-05-23 14:51:16+00:00,assign vacancy,['Vacancy[550001] - Manager'],,,['Application[770017]'],,
78,79,2019-05-23 15:23:52+00:00,submit application,['Vacancy[550004] - Programmer'],,['Andre Lopez'],['Application[770039]'],,
79,80,2019-05-23 16:32:03+00:00,submit application,['Vacancy[550001] - Manager'],,['Mary Schmidt'],['Application[770040]'],,
80,81,2019-05-23 18:04:49+00:00,submit application,['Vacancy[550005] - Programmer'],,['Pete Johnson'],['Application[770041]'],,
81,82,2019-05-23 19:38:17+00:00,submit application,,,['Detlef Park'],['Application[770042]'],,
82,83,2019-05-23 22:12:59+00:00,submit application,,,['Sonia Taylor'],['Application[770043]'],,
83,84,2019-05-24 05:49:15+00:00,submit application,['Vacancy[550004] - Programmer'],,['Ray Jansen'],['Application[770044]'],,
84,85,2019-05-24 07:22:03+00:00,open vacancy,['Vacancy[550008] - Consultant'],['Martin Klenk'],,,,
85,86,2019-05-24 08:02:30+00:00,submit application,['Vacancy[550002] - Consultant'],,['Vanessa Jansen'],['Application[770045]'],,
86,87,2019-05-24 08:20:05+00:00,assign recruiter,,,,['Application[770042]'],"['Ed Hense', 'Simon Keane', 'Ed Meister']",
87,88,2019-05-24 08:46:49+00:00,submit application,['Vacancy[550002] - Consultant'],,['Toon Weber'],['Application[770046]'],,
88,89,2019-05-24 08:47:30+00:00,first screening,,,,['Application[770027]'],['Ed Keane'],
89,90,2019-05-24 09:15:24+00:00,send rejection,,,['Ray Schmidt'],['Application[770016]'],['Jana Hense'],
90,91,2019-05-24 09:18:14+00:00,assign recruiter,,,,['Application[770041]'],"['Dionne Kershaw', 'Simon Meister', 'Simon Keane']",
91,92,2019-05-24 10:09:14+00:00,assign recruiter,,,,['Application[770007]'],"['Simon Kershaw', 'Ed Meister', 'Dionne Geisler']",
92,93,2019-05-24 10:17:58+00:00,submit application,['Vacancy[550002] - Consultant'],,['Ray Taylor'],['Application[770047]'],,
93,94,2019-05-24 11:07:28+00:00,assign recruiter,,,,['Application[770040]'],"['Ed Meister', 'Simon Geisler', 'Jana Hense']",
94,95,2019-05-24 11:20:16+00:00,submit application,,,['Sonia Jansen'],['Application[770048]'],,
95,96,2019-05-24 11:35:37+00:00,first screening,,,,['Application[770012]'],['Simon Kershaw'],
96,97,2019-05-24 12:24:51+00:00,submit application,['Vacancy[550004] - Programmer'],,['Chun Taylor'],['Application[770049]'],,
97,98,2019-05-24 12:58:01+00:00,first screening,,,,['Application[770029]'],['Dionne Kershaw'],
98,99,2019-05-24 13:25:40+00:00,first screening,,,,['Application[770013]'],['Ed Hense'],
99,100,2019-05-24 13:34:02+00:00,submit application,,,['Toon Pietersen'],['Application[770050]'],,
100,101,2019-05-24 13:52:32+00:00,first screening,,,,['Application[770023]'],['Dionne Hense'],
101,102,2019-05-24 14:23:03+00:00,open vacancy,['Vacancy[550009] - Programmer'],['Miguel Milano'],,,,
102,103,2019-05-24 14:23:20+00:00,send rejection,,,['Johan Jansen'],['Application[770014]'],['Simon Hense'],
103,104,2019-05-24 14:52:24+00:00,submit application,,,['Toon Wang'],['Application[770051]'],,
104,105,2019-05-24 15:00:06+00:00,first screening,,,,['Application[770025]'],['Dionne Geisler'],
105,106,2019-05-24 16:29:07+00:00,submit application,['Vacancy[550002] - Consultant'],,['Sonia Zimmermann'],['Application[770052]'],,
106,107,2019-05-24 16:40:38+00:00,first screening,,,,['Application[770040]'],['Ed Meister'],
107,108,2019-05-24 17:03:47+00:00,send rejection,,,['Chun Smith'],['Application[770029]'],['Dionne Kershaw'],
108,109,2019-05-24 17:56:01+00:00,submit application,,,['Stephan Brown'],['Application[770053]'],,
109,110,2019-05-24 20:20:41+00:00,submit application,['Vacancy[550007] - Consultant'],,['Jorge Jansen'],['Application[770054]'],,
110,111,2019-05-25 09:09:23+00:00,submit application,,,['Mary Taylor'],['Application[770055]'],,
111,112,2019-05-25 16:42:02+00:00,submit application,['Vacancy[550007] - Consultant'],,['Toon Lopez'],['Application[770056]'],,
112,113,2019-05-26 11:23:21+00:00,submit application,['Vacancy[550008] - Consultant'],,['Lisa Smith'],['Application[770057]'],,
113,114,2019-05-26 12:01:03+00:00,open vacancy,['Vacancy[550010] - Programmer'],['Alexander Rinke'],,,,
114,115,2019-05-26 20:56:37+00:00,submit application,['Vacancy[550001] - Manager'],,['Sue Johnson'],['Application[770058]'],,
115,116,2019-05-27 06:12:12+00:00,submit application,,,['Lisa Li'],['Application[770059]'],,
116,117,2019-05-27 07:30:43+00:00,assign recruiter,,,,['Application[770038]'],"['Ed Meister', 'Jana Kershaw', 'Jana Geisler']",
117,118,2019-05-27 07:32:37+00:00,submit application,['Vacancy[550002] - Consultant'],,['Detlef Lopez'],['Application[770060]'],,
118,119,2019-05-27 07:50:04+00:00,assign vacancy,['Vacancy[550005] - Programmer'],,,['Application[770042]'],,
119,120,2019-05-27 08:20:04+00:00,assign recruiter,,,,['Application[770058]'],"['Jana Meister', 'Jana Kershaw', 'Dionne Hense']",
120,121,2019-05-27 08:21:47+00:00,first screening,,,,['Application[770041]'],['Dionne Kershaw'],
121,122,2019-05-27 08:28:52+00:00,first screening,,,,['Application[770058]'],['Jana Meister'],
122,123,2019-05-27 08:28:56+00:00,assign recruiter,,,,['Application[770028]'],"['Ed Kershaw', 'Simon Meister', 'Dionne Keane']",
123,124,2019-05-27 08:49:34+00:00,submit application,,,['Stephan Lemmens'],['Application[770061]'],,
124,125,2019-05-27 09:24:07+00:00,send rejection,,,['Ray Pietersen'],['Application[770012]'],['Simon Kershaw'],
125,126,2019-05-27 09:56:05+00:00,assign recruiter,,,,['Application[770006]'],"['Jana Kershaw', 'Jana Keane', 'Simon Kershaw']",
126,127,2019-05-27 10:23:28+00:00,submit application,['Vacancy[550007] - Consultant'],,['Vanessa Pietersen'],['Application[770062]'],,
127,128,2019-05-27 11:31:15+00:00,submit application,['Vacancy[550004] - Programmer'],,['Sonia Wagner'],['Application[770063]'],,
128,129,2019-05-27 11:39:30+00:00,open vacancy,['Vacancy[550011] - Programmer'],['Miguel Milano'],,,,
129,130,2019-05-27 12:01:28+00:00,assign recruiter,,,,['Application[770049]'],"['Jana Keane', 'Jana Kershaw', 'Dionne Hense']",
130,131,2019-05-27 12:46:50+00:00,submit application,,,['Pete Li'],['Application[770064]'],,
131,132,2019-05-27 13:10:43+00:00,check references,,,,['Application[770027]'],"['Jana Geisler', 'Ed Kershaw']",
132,133,2019-05-27 13:43:59+00:00,assign vacancy,['Vacancy[550005] - Programmer'],,,['Application[770007]'],,
133,134,2019-05-27 14:08:49+00:00,check references,,,,['Application[770040]'],"['Simon Geisler', 'Jana Hense']",
134,135,2019-05-27 14:18:00+00:00,submit application,['Vacancy[550009] - Programmer'],,['Sue Davis'],['Application[770065]'],,
135,136,2019-05-27 14:43:11+00:00,assign recruiter,,,,['Application[770037]'],"['Ed Meister', 'Jana Hense', 'Jana Kershaw']",
136,137,2019-05-27 15:05:19+00:00,assign recruiter,,,,['Application[770061]'],"['Dionne Hense', 'Dionne Keane', 'Simon Hense']",
137,138,2019-05-27 15:20:19+00:00,submit application,,,['Sonia Lopez'],['Application[770066]'],,
138,139,2019-05-27 16:05:50+00:00,first screening,,,,['Application[770038]'],['Ed Meister'],
139,140,2019-05-27 16:24:58+00:00,submit application,,,['Ray Wang'],['Application[770067]'],,
140,141,2019-05-27 17:43:33+00:00,submit application,['Vacancy[550005] - Programmer'],,['Angela Weber'],['Application[770068]'],,
141,142,2019-05-27 19:55:46+00:00,submit application,['Vacancy[550007] - Consultant'],,['Jorge Johnson'],['Application[770069]'],,
142,143,2019-05-27 20:16:25+00:00,open vacancy,['Vacancy[550012] - Programmer'],['Miguel Milano'],,,,
143,144,2019-05-27 23:57:52+00:00,submit application,['Vacancy[550002] - Consultant'],,['Stephan Jones'],['Application[770070]'],,
144,145,2019-05-28 07:14:06+00:00,submit application,,,['Johan Jones'],['Application[770071]'],,
145,146,2019-05-28 07:42:48+00:00,assign recruiter,,,,['Application[770054]'],"['Jana Geisler', 'Ed Keane', 'Jana Meister']",
146,147,2019-05-28 07:54:16+00:00,check references,,,,['Application[770003]'],"['Dionne Meister', 'Jana Meister']",
147,148,2019-05-28 07:58:26+00:00,submit application,,,['Sonia Li'],['Application[770072]'],,
148,149,2019-05-28 08:13:10+00:00,assign recruiter,,,,['Application[770070]'],"['Simon Meister', 'Jana Keane', 'Simon Kershaw']",
149,150,2019-05-28 08:22:25+00:00,assign recruiter,,,,['Application[770045]'],"['Jana Kershaw', 'Jana Geisler', 'Dionne Geisler']",
150,151,2019-05-28 08:33:46+00:00,assign recruiter,,,,['Application[770047]'],"['Jana Keane', 'Dionne Meister', 'Ed Hense']",
151,152,2019-05-28 08:36:46+00:00,assign vacancy,['Vacancy[550002] - Consultant'],,,['Application[770061]'],,
152,153,2019-05-28 09:41:12+00:00,submit application,['Vacancy[550009] - Programmer'],,['Mary Lopez'],['Application[770073]'],,
153,154,2019-05-28 09:51:35+00:00,assign recruiter,,,,['Application[770036]'],"['Dionne Keane', 'Dionne Kershaw', 'Jana Keane']",
154,155,2019-05-28 10:29:10+00:00,check references,,,,['Application[770023]'],"['Simon Kershaw', 'Simon Keane']",
155,156,2019-05-28 10:38:01+00:00,first screening,,,,['Application[770017]'],['Simon Hense'],
156,157,2019-05-28 11:06:43+00:00,submit application,,,['Sue Taylor'],['Application[770074]'],,
157,158,2019-05-28 11:11:35+00:00,first screening,,,,['Application[770036]'],['Dionne Keane'],
158,159,2019-05-28 11:24:18+00:00,assign vacancy,['Vacancy[550005] - Programmer'],,,['Application[770028]'],,
159,160,2019-05-28 11:51:03+00:00,submit application,['Vacancy[550008] - Consultant'],,['Angela Wang'],['Application[770075]'],,
160,161,2019-05-28 12:07:57+00:00,check references,,,,['Application[770058]'],"['Jana Kershaw', 'Dionne Hense']",
161,162,2019-05-28 12:09:34+00:00,open vacancy,['Vacancy[550013] - Manager'],['Alexander Rinke'],,,,
162,163,2019-05-28 12:26:48+00:00,first screening,,,,['Application[770047]'],['Jana Keane'],
163,164,2019-05-28 13:20:14+00:00,check references,,,,['Application[770041]'],"['Simon Meister', 'Simon Keane']",
164,165,2019-05-28 13:21:57+00:00,assign recruiter,,,,['Application[770024]'],"['Simon Geisler', 'Dionne Keane', 'Ed Hense']",
165,166,2019-05-28 13:22:33+00:00,first screening,,,,['Application[770049]'],['Jana Keane'],
166,167,2019-05-28 13:26:26+00:00,submit application,['Vacancy[550007] - Consultant'],,['Johan Park'],['Application[770076]'],,
167,168,2019-05-28 13:45:06+00:00,assign recruiter,,,,['Application[770060]'],"['Simon Keane', 'Jana Hense', 'Simon Meister']",
168,169,2019-05-28 13:50:14+00:00,first screening,,,,['Application[770045]'],['Jana Kershaw'],
169,170,2019-05-28 14:00:34+00:00,assign recruiter,,,,['Application[770068]'],"['Simon Keane', 'Dionne Kershaw', 'Simon Hense']",
170,171,2019-05-28 14:13:06+00:00,assign recruiter,,,,['Application[770073]'],"['Jana Meister', 'Ed Meister', 'Dionne Geisler']",
171,172,2019-05-28 14:37:11+00:00,submit application,,,['Jorge Schmidt'],['Application[770077]'],,
172,173,2019-05-28 14:38:34+00:00,first screening,,,,['Application[770006]'],['Jana Kershaw'],
173,174,2019-05-28 15:44:15+00:00,assign recruiter,,,,['Application[770046]'],"['Dionne Meister', 'Dionne Keane', 'Simon Meister']",
174,175,2019-05-28 15:58:42+00:00,submit application,['Vacancy[550003] - Programmer'],,['Chun Jansen'],['Application[770078]'],,
175,176,2019-05-28 16:02:00+00:00,first screening,,,,['Application[770054]'],['Jana Geisler'],
176,177,2019-05-28 16:24:21+00:00,assign recruiter,,,,['Application[770077]'],"['Simon Hense', 'Dionne Kershaw', 'Ed Meister']",
177,178,2019-05-28 16:33:02+00:00,first screening,,,,['Application[770024]'],['Simon Geisler'],
178,179,2019-05-28 17:41:44+00:00,submit application,['Vacancy[550006] - Programmer'],,['Pete Neumann'],['Application[770079]'],,
179,180,2019-05-28 19:52:07+00:00,submit application,,,['Dave Brown'],['Application[770080]'],,
180,181,2019-05-28 20:46:36+00:00,open vacancy,['Vacancy[550014] - Manager'],['Vaishnavi Sashikanth'],,,,
181,182,2019-05-28 23:35:59+00:00,submit application,,,['Jorge Lopez'],['Application[770081]'],,
182,183,2019-05-29 06:46:22+00:00,assign vacancy,['Vacancy[550001] - Manager'],,,['Application[770037]'],,
183,184,2019-05-29 06:47:05+00:00,first screening,,,,['Application[770068]'],['Simon Keane'],
184,185,2019-05-29 06:47:50+00:00,submit application,['Vacancy[550006] - Programmer'],,['Ray Lemmens'],['Application[770082]'],,
185,186,2019-05-29 07:19:20+00:00,assign recruiter,,,,['Application[770052]'],"['Simon Meister', 'Jana Kershaw', 'Dionne Geisler']",
186,187,2019-05-29 07:34:58+00:00,assign recruiter,,,,['Application[770039]'],"['Jana Meister', 'Simon Meister', 'Dionne Kershaw']",
187,188,2019-05-29 08:02:30+00:00,check references,,,,['Application[770010]'],"['Ed Kershaw', 'Jana Geisler']",
188,189,2019-05-29 08:09:52+00:00,first screening,,,,['Application[770028]'],['Ed Kershaw'],
189,190,2019-05-29 08:24:23+00:00,first screening,,,,['Application[770073]'],['Jana Meister'],
190,191,2019-05-29 08:25:20+00:00,assign recruiter,,,,['Application[770031]'],"['Dionne Kershaw', 'Simon Geisler', 'Ed Kershaw']",
191,192,2019-05-29 08:26:04+00:00,submit application,,,['Stephan Lopez'],['Application[770083]'],,
192,193,2019-05-29 08:44:11+00:00,first screening,,,,['Application[770046]'],['Dionne Meister'],
193,194,2019-05-29 08:56:41+00:00,check references,,,,['Application[770049]'],"['Jana Kershaw', 'Dionne Hense']",
194,195,2019-05-29 09:34:28+00:00,first screening,,,,['Application[770070]'],['Simon Meister'],
195,196,2019-05-29 09:34:39+00:00,first screening,,,,['Application[770037]'],['Ed Meister'],
196,197,2019-05-29 09:36:28+00:00,submit application,,,['Mary Zimmermann'],['Application[770084]'],,
197,198,2019-05-29 10:13:00+00:00,first screening,,,,['Application[770039]'],['Jana Meister'],
198,199,2019-05-29 10:57:16+00:00,submit application,,,['Stephan Wang'],['Application[770085]'],,
199,200,2019-05-29 11:47:43+00:00,first screening,,,,['Application[770052]'],['Simon Meister'],
200,201,2019-05-29 12:38:51+00:00,submit application,['Vacancy[550011] - Programmer'],,['Angela Lemmens'],['Application[770086]'],,
201,202,2019-05-29 12:43:14+00:00,assign recruiter,,,,['Application[770084]'],"['Simon Kershaw', 'Dionne Kershaw', 'Ed Geisler']",
202,203,2019-05-29 12:43:48+00:00,assign recruiter,,,,['Application[770079]'],"['Jana Hense', 'Jana Geisler', 'Jana Kershaw']",
203,204,2019-05-29 12:49:47+00:00,assign recruiter,,,,['Application[770063]'],"['Dionne Meister', 'Dionne Keane', 'Simon Hense']",
204,205,2019-05-29 12:54:51+00:00,open vacancy,['Vacancy[550015] - Consultant'],['Ariel Bardin'],,,,
205,206,2019-05-29 13:07:48+00:00,assign vacancy,['Vacancy[550009] - Programmer'],,,['Application[770077]'],,
206,207,2019-05-29 14:02:02+00:00,submit application,['Vacancy[550004] - Programmer'],,['Chun Neumann'],['Application[770087]'],,
207,208,2019-05-29 14:46:22+00:00,submit application,['Vacancy[550009] - Programmer'],,['Vanessa Taylor'],['Application[770088]'],,
208,209,2019-05-29 14:50:09+00:00,first screening,,,,['Application[770007]'],['Simon Kershaw'],
209,210,2019-05-29 15:14:18+00:00,first screening,,,,['Application[770060]'],['Simon Keane'],
210,211,2019-05-29 15:29:43+00:00,assign recruiter,,,,['Application[770019]'],"['Ed Kershaw', 'Jana Geisler', 'Ed Keane']",
211,212,2019-05-29 15:32:28+00:00,assign recruiter,,,,['Application[770021]'],"['Dionne Hense', 'Ed Keane', 'Dionne Keane']",
212,213,2019-05-29 16:17:03+00:00,submit application,['Vacancy[550001] - Manager'],,['Dave Taylor'],['Application[770089]'],,
213,214,2019-05-29 17:19:49+00:00,submit application,['Vacancy[550008] - Consultant'],,['Jorge Pietersen'],['Application[770090]'],,
214,215,2019-05-29 17:55:53+00:00,assign vacancy,['Vacancy[550002] - Consultant'],,,['Application[770084]'],,
215,216,2019-05-29 19:08:17+00:00,submit application,,,['Mary Park'],['Application[770091]'],,
216,217,2019-05-29 19:21:33+00:00,assign recruiter,,,,['Application[770004]'],"['Dionne Geisler', 'Dionne Hense', 'Jana Hense']",
217,218,2019-05-29 20:45:13+00:00,submit application,,,['Lisa Lemmens'],['Application[770092]'],,
218,219,2019-05-30 03:32:51+00:00,open vacancy,['Vacancy[550016] - Manager'],['Alexander Rinke'],,,,
219,220,2019-05-30 03:54:35+00:00,submit application,,,['Sue Li'],['Application[770093]'],,
220,221,2019-05-30 07:56:22+00:00,submit application,,,['Sue Weber'],['Application[770094]'],,
221,222,2019-05-30 08:06:25+00:00,send rejection,,,['Jorge Jansen'],['Application[770054]'],['Jana Geisler'],
222,223,2019-05-30 08:08:40+00:00,assign recruiter,,,,['Application[770050]'],"['Jana Keane', 'Jana Kershaw', 'Simon Keane']",
223,224,2019-05-30 08:19:07+00:00,check references,,,,['Application[770005]'],"['Dionne Keane', 'Simon Meister']",
224,225,2019-05-30 08:40:09+00:00,assign recruiter,,,,['Application[770069]'],"['Dionne Hense', 'Ed Hense', 'Jana Geisler']",
225,226,2019-05-30 09:37:04+00:00,submit application,['Vacancy[550016] - Manager'],,['Sue Wagner'],['Application[770095]'],,
226,227,2019-05-30 09:39:33+00:00,assign recruiter,,,,['Application[770002]'],"['Jana Meister', 'Ed Hense', 'Ed Kershaw']",
227,228,2019-05-30 09:49:54+00:00,first screening,,,,['Application[770061]'],['Dionne Hense'],
228,229,2019-05-30 10:16:06+00:00,send rejection,,,['Mary Johnson'],['Application[770015]'],['Simon Keane'],
229,230,2019-05-30 10:21:14+00:00,first screening,,,,['Application[770031]'],['Dionne Kershaw'],
230,231,2019-05-30 10:22:46+00:00,assign recruiter,,,,['Application[770034]'],"['Ed Keane', 'Ed Geisler', 'Jana Meister']",
231,232,2019-05-30 10:58:28+00:00,submit application,['Vacancy[550002] - Consultant'],,['Pete Taylor'],['Application[770096]'],,
232,233,2019-05-30 11:31:28+00:00,assign recruiter,,,,['Application[770081]'],"['Ed Geisler', 'Ed Meister', 'Jana Keane']",
233,234,2019-05-30 11:31:53+00:00,assign recruiter,,,,['Application[770088]'],"['Dionne Geisler', 'Dionne Meister', 'Jana Kershaw']",
234,235,2019-05-30 11:33:44+00:00,first screening,,,,['Application[770084]'],['Simon Kershaw'],
235,236,2019-05-30 11:58:16+00:00,check references,,,,['Application[770068]'],"['Dionne Kershaw', 'Simon Hense']",
